filename,class,case,has_arrow
image_00000.png,negative,neg_multiple_circles,True
image_00001.png,negative,neg_triangle_out,False
image_00002.png,positive,positive,True
image_00003.png,positive,positive,True
image_00004.png,negative,neg_circle_only,False
image_00005.png,negative,neg_multiple_circles,False
image_00006.png,negative,neg_multiple_circles,True
image_00007.png,positive,positive,False
image_00008.png,positive,positive,True
image_00009.png,negative,neg_two_triangles,False
image_00010.png,negative,neg_triangle_out,False
image_00011.png,positive,positive,True
image_00012.png,negative,neg_empty,False
image_00013.png,positive,positive,True
image_00014.png,positive,positive,False
image_00015.png,negative,neg_circle_only,False
image_00016.png,negative,neg_empty,False
image_00017.png,negative,neg_two_triangles,False
image_00018.png,negative,neg_two_triangles,False
image_00019.png,negative,neg_two_triangles,True
image_00020.png,negative,neg_two_triangles,False
image_00021.png,positive,positive,True
image_00022.png,negative,neg_disjoint,True
image_00023.png,positive,positive_noise,True
image_00024.png,positive,positive,False
image_00025.png,positive,positive_noise,True
image_00026.png,negative,neg_triangle_out,False
image_00027.png,negative,neg_empty,True
image_00028.png,negative,neg_disjoint,True
image_00029.png,negative,neg_multiple_circles,False
image_00030.png,positive,positive,True
image_00031.png,negative,neg_empty,False
image_00032.png,positive,positive_noise,True
image_00033.png,positive,positive,True
image_00034.png,negative,neg_circle_only,False
image_00035.png,positive,positive,True
image_00036.png,negative,neg_triangle_out,False
image_00037.png,positive,positive,True
image_00038.png,negative,neg_two_triangles,True
image_00039.png,negative,neg_circle_only,False
image_00040.png,negative,neg_disjoint,False
image_00041.png,negative,neg_empty,True
image_00042.png,positive,positive,False
image_00043.png,negative,neg_disjoint,False
image_00044.png,positive,positive,True
image_00045.png,positive,positive,False
image_00046.png,positive,positive,True
image_00047.png,positive,positive,False
image_00048.png,positive,positive_noise,True
image_00049.png,positive,positive_noise,True
image_00050.png,negative,neg_multiple_circles,True
image_00051.png,positive,positive,True
image_00052.png,negative,neg_two_triangles,False
image_00053.png,negative,neg_two_triangles,False
image_00054.png,positive,positive,True
image_00055.png,positive,positive,True
image_00056.png,positive,positive_noise,True
image_00057.png,negative,neg_empty,False
image_00058.png,positive,positive,True
image_00059.png,positive,positive,True
image_00060.png,positive,positive,True
image_00061.png,positive,positive,True
image_00062.png,negative,neg_multiple_circles,True
image_00063.png,positive,positive,False
image_00064.png,negative,neg_disjoint,False
image_00065.png,negative,neg_circle_only,False
image_00066.png,positive,positive,False
image_00067.png,negative,neg_disjoint,False
image_00068.png,positive,positive,True
image_00069.png,negative,neg_circle_only,False
image_00070.png,positive,positive,True
image_00071.png,positive,positive,False
image_00072.png,positive,positive_noise,True
image_00073.png,positive,positive,False
image_00074.png,negative,neg_empty,True
