filename,class,case,has_arrow
image_00000.png,negative,neg_two_triangles,False
image_00001.png,positive,positive,True
image_00002.png,positive,positive,True
image_00003.png,negative,neg_two_triangles,False
image_00004.png,positive,positive,True
image_00005.png,positive,positive,True
image_00006.png,negative,neg_triangle_out,False
image_00007.png,positive,positive_noise,True
image_00008.png,positive,positive,False
image_00009.png,positive,positive,True
image_00010.png,positive,positive,True
image_00011.png,negative,neg_two_triangles,False
image_00012.png,positive,positive_noise,True
image_00013.png,negative,neg_triangle_out,False
image_00014.png,positive,positive_noise,True
image_00015.png,positive,positive,True
image_00016.png,negative,neg_disjoint,False
image_00017.png,positive,positive,True
image_00018.png,negative,neg_triangle_out,False
image_00019.png,positive,positive,True
image_00020.png,negative,neg_triangle_out,False
image_00021.png,positive,positive,True
image_00022.png,positive,positive,True
image_00023.png,positive,positive_noise,False
image_00024.png,negative,neg_circle_only,False
image_00025.png,negative,neg_circle_only,False
image_00026.png,negative,neg_triangle_out,False
image_00027.png,positive,positive,False
image_00028.png,positive,positive_noise,True
image_00029.png,positive,positive,True
image_00030.png,negative,neg_circle_only,True
image_00031.png,negative,neg_triangle_out,False
image_00032.png,positive,positive,True
image_00033.png,negative,neg_two_triangles,False
image_00034.png,positive,positive_noise,True
image_00035.png,positive,positive,False
image_00036.png,positive,positive,True
image_00037.png,negative,neg_multiple_circles,False
image_00038.png,negative,neg_circle_only,True
image_00039.png,negative,neg_two_triangles,False
image_00040.png,negative,neg_disjoint,False
image_00041.png,negative,neg_circle_only,True
image_00042.png,positive,positive,False
image_00043.png,negative,neg_disjoint,False
image_00044.png,negative,neg_triangle_out,False
image_00045.png,negative,neg_empty,False
image_00046.png,positive,positive_noise,True
image_00047.png,negative,neg_two_triangles,False
image_00048.png,negative,neg_two_triangles,False
image_00049.png,positive,positive_noise,True
image_00050.png,negative,neg_circle_only,False
image_00051.png,negative,neg_triangle_out,False
image_00052.png,positive,positive,False
image_00053.png,negative,neg_two_triangles,False
image_00054.png,negative,neg_disjoint,True
image_00055.png,negative,neg_two_triangles,False
image_00056.png,positive,positive,False
image_00057.png,negative,neg_multiple_circles,True
image_00058.png,positive,positive,True
image_00059.png,positive,positive_noise,False
image_00060.png,negative,neg_circle_only,True
image_00061.png,positive,positive,True
image_00062.png,positive,positive,True
image_00063.png,negative,neg_circle_only,False
image_00064.png,positive,positive,True
image_00065.png,negative,neg_circle_only,False
image_00066.png,negative,neg_multiple_circles,False
image_00067.png,negative,neg_two_triangles,False
image_00068.png,negative,neg_triangle_out,True
image_00069.png,positive,positive,True
image_00070.png,positive,positive,True
image_00071.png,negative,neg_circle_only,False
image_00072.png,negative,neg_multiple_circles,True
image_00073.png,negative,neg_triangle_out,True
image_00074.png,positive,positive,False
image_00075.png,positive,positive,True
image_00076.png,positive,positive,True
image_00077.png,negative,neg_two_triangles,False
image_00078.png,negative,neg_triangle_out,False
image_00079.png,negative,neg_empty,False
image_00080.png,negative,neg_empty,False
image_00081.png,negative,neg_empty,True
image_00082.png,positive,positive_noise,True
image_00083.png,negative,neg_disjoint,True
image_00084.png,negative,neg_triangle_out,False
image_00085.png,positive,positive,False
image_00086.png,negative,neg_disjoint,False
image_00087.png,negative,neg_empty,False
image_00088.png,positive,positive,False
image_00089.png,positive,positive,True
image_00090.png,negative,neg_multiple_circles,True
image_00091.png,positive,positive,True
image_00092.png,positive,positive,True
image_00093.png,negative,neg_empty,True
image_00094.png,positive,positive,True
image_00095.png,positive,positive,False
image_00096.png,positive,positive,True
image_00097.png,negative,neg_disjoint,True
image_00098.png,negative,neg_disjoint,True
image_00099.png,positive,positive,False
image_00100.png,positive,positive,True
image_00101.png,negative,neg_triangle_out,True
image_00102.png,positive,positive,True
image_00103.png,positive,positive,True
image_00104.png,negative,neg_two_triangles,False
image_00105.png,negative,neg_two_triangles,True
image_00106.png,negative,neg_two_triangles,True
image_00107.png,negative,neg_empty,False
image_00108.png,positive,positive,False
image_00109.png,positive,positive_noise,True
image_00110.png,negative,neg_multiple_circles,False
image_00111.png,positive,positive_noise,True
image_00112.png,positive,positive_noise,False
image_00113.png,positive,positive_noise,True
image_00114.png,negative,neg_multiple_circles,False
image_00115.png,negative,neg_disjoint,False
image_00116.png,negative,neg_empty,False
image_00117.png,positive,positive,True
image_00118.png,positive,positive,False
image_00119.png,positive,positive,True
image_00120.png,negative,neg_circle_only,False
image_00121.png,negative,neg_empty,False
image_00122.png,negative,neg_empty,False
image_00123.png,positive,positive_noise,True
image_00124.png,positive,positive,True
image_00125.png,negative,neg_two_triangles,False
image_00126.png,negative,neg_multiple_circles,False
image_00127.png,positive,positive,True
image_00128.png,negative,neg_two_triangles,True
image_00129.png,negative,neg_circle_only,False
image_00130.png,positive,positive,True
image_00131.png,positive,positive_noise,True
image_00132.png,positive,positive_noise,True
image_00133.png,negative,neg_triangle_out,False
image_00134.png,positive,positive,True
image_00135.png,negative,neg_two_triangles,False
image_00136.png,negative,neg_triangle_out,True
image_00137.png,positive,positive,False
image_00138.png,positive,positive,True
image_00139.png,positive,positive_noise,True
image_00140.png,positive,positive,False
image_00141.png,positive,positive,True
image_00142.png,negative,neg_disjoint,False
image_00143.png,positive,positive,True
image_00144.png,negative,neg_two_triangles,False
image_00145.png,negative,neg_multiple_circles,False
image_00146.png,negative,neg_two_triangles,False
image_00147.png,positive,positive,True
image_00148.png,positive,positive_noise,True
image_00149.png,negative,neg_circle_only,False
image_00150.png,negative,neg_multiple_circles,False
image_00151.png,positive,positive_noise,True
image_00152.png,negative,neg_circle_only,True
image_00153.png,negative,neg_empty,True
image_00154.png,negative,neg_disjoint,False
image_00155.png,positive,positive,True
image_00156.png,negative,neg_two_triangles,False
image_00157.png,positive,positive,True
image_00158.png,negative,neg_disjoint,False
image_00159.png,positive,positive,True
image_00160.png,negative,neg_circle_only,False
image_00161.png,negative,neg_two_triangles,False
image_00162.png,positive,positive,True
image_00163.png,positive,positive,True
image_00164.png,positive,positive_noise,True
image_00165.png,positive,positive,False
image_00166.png,positive,positive,True
image_00167.png,negative,neg_disjoint,True
image_00168.png,positive,positive,False
image_00169.png,positive,positive,False
image_00170.png,negative,neg_empty,False
image_00171.png,positive,positive,True
image_00172.png,negative,neg_empty,False
image_00173.png,negative,neg_disjoint,False
image_00174.png,negative,neg_triangle_out,False
image_00175.png,negative,neg_multiple_circles,False
image_00176.png,negative,neg_empty,False
image_00177.png,negative,neg_circle_only,False
image_00178.png,negative,neg_triangle_out,False
image_00179.png,negative,neg_empty,False
image_00180.png,negative,neg_two_triangles,False
image_00181.png,negative,neg_empty,False
image_00182.png,negative,neg_multiple_circles,False
image_00183.png,negative,neg_disjoint,False
image_00184.png,negative,neg_multiple_circles,False
image_00185.png,negative,neg_multiple_circles,False
image_00186.png,negative,neg_two_triangles,True
image_00187.png,negative,neg_disjoint,False
image_00188.png,negative,neg_circle_only,False
image_00189.png,positive,positive_noise,True
image_00190.png,positive,positive_noise,True
image_00191.png,positive,positive_noise,False
image_00192.png,negative,neg_empty,False
image_00193.png,negative,neg_disjoint,False
image_00194.png,negative,neg_empty,False
image_00195.png,positive,positive,False
image_00196.png,negative,neg_multiple_circles,False
image_00197.png,negative,neg_triangle_out,False
image_00198.png,negative,neg_disjoint,False
image_00199.png,negative,neg_circle_only,True
image_00200.png,negative,neg_two_triangles,True
image_00201.png,positive,positive_noise,True
image_00202.png,negative,neg_triangle_out,False
image_00203.png,positive,positive,True
image_00204.png,negative,neg_multiple_circles,False
image_00205.png,positive,positive,False
image_00206.png,positive,positive,True
image_00207.png,positive,positive,True
image_00208.png,positive,positive_noise,True
image_00209.png,positive,positive,False
image_00210.png,positive,positive,True
image_00211.png,positive,positive,True
image_00212.png,positive,positive,True
image_00213.png,positive,positive,True
image_00214.png,negative,neg_disjoint,True
image_00215.png,positive,positive,True
image_00216.png,positive,positive_noise,False
image_00217.png,negative,neg_empty,False
image_00218.png,negative,neg_two_triangles,False
image_00219.png,positive,positive_noise,True
image_00220.png,negative,neg_circle_only,True
image_00221.png,positive,positive,True
image_00222.png,positive,positive_noise,True
image_00223.png,positive,positive_noise,True
image_00224.png,negative,neg_empty,True
image_00225.png,positive,positive,True
image_00226.png,positive,positive,True
image_00227.png,negative,neg_two_triangles,True
image_00228.png,positive,positive,False
image_00229.png,positive,positive,False
image_00230.png,negative,neg_circle_only,True
image_00231.png,negative,neg_multiple_circles,False
image_00232.png,negative,neg_circle_only,False
image_00233.png,positive,positive,True
image_00234.png,positive,positive,True
image_00235.png,positive,positive,True
image_00236.png,negative,neg_circle_only,False
image_00237.png,negative,neg_triangle_out,True
image_00238.png,negative,neg_two_triangles,False
image_00239.png,negative,neg_triangle_out,False
image_00240.png,negative,neg_disjoint,False
image_00241.png,negative,neg_circle_only,False
image_00242.png,positive,positive_noise,False
image_00243.png,positive,positive,True
image_00244.png,negative,neg_empty,False
image_00245.png,positive,positive,True
image_00246.png,negative,neg_triangle_out,False
image_00247.png,positive,positive,True
image_00248.png,positive,positive,False
image_00249.png,positive,positive_noise,True
image_00250.png,negative,neg_two_triangles,False
image_00251.png,negative,neg_empty,False
image_00252.png,positive,positive,True
image_00253.png,positive,positive_noise,True
image_00254.png,positive,positive_noise,True
image_00255.png,negative,neg_empty,False
image_00256.png,negative,neg_two_triangles,False
image_00257.png,negative,neg_circle_only,False
image_00258.png,positive,positive,True
image_00259.png,negative,neg_empty,True
image_00260.png,positive,positive,True
image_00261.png,negative,neg_disjoint,False
image_00262.png,negative,neg_two_triangles,True
image_00263.png,negative,neg_empty,True
image_00264.png,negative,neg_two_triangles,False
image_00265.png,positive,positive,False
image_00266.png,negative,neg_multiple_circles,True
image_00267.png,negative,neg_circle_only,False
image_00268.png,negative,neg_two_triangles,False
image_00269.png,positive,positive_noise,False
image_00270.png,positive,positive,True
image_00271.png,positive,positive,True
image_00272.png,positive,positive,True
image_00273.png,negative,neg_multiple_circles,False
image_00274.png,positive,positive_noise,False
image_00275.png,positive,positive,True
image_00276.png,negative,neg_disjoint,False
image_00277.png,positive,positive,True
image_00278.png,positive,positive_noise,False
image_00279.png,negative,neg_multiple_circles,False
image_00280.png,positive,positive,False
image_00281.png,positive,positive_noise,True
image_00282.png,negative,neg_multiple_circles,False
image_00283.png,positive,positive_noise,True
image_00284.png,negative,neg_empty,False
image_00285.png,negative,neg_circle_only,True
image_00286.png,positive,positive,True
image_00287.png,negative,neg_circle_only,False
image_00288.png,positive,positive_noise,True
image_00289.png,negative,neg_multiple_circles,False
image_00290.png,positive,positive_noise,True
image_00291.png,positive,positive,False
image_00292.png,negative,neg_multiple_circles,False
image_00293.png,positive,positive,True
image_00294.png,negative,neg_two_triangles,False
image_00295.png,positive,positive_noise,True
image_00296.png,positive,positive,True
image_00297.png,positive,positive,True
image_00298.png,negative,neg_empty,True
image_00299.png,negative,neg_circle_only,False
image_00300.png,negative,neg_circle_only,False
image_00301.png,positive,positive,True
image_00302.png,positive,positive,True
image_00303.png,positive,positive,True
image_00304.png,positive,positive_noise,True
image_00305.png,positive,positive,True
image_00306.png,positive,positive,True
image_00307.png,positive,positive_noise,True
image_00308.png,negative,neg_disjoint,False
image_00309.png,positive,positive,False
image_00310.png,positive,positive,True
image_00311.png,positive,positive,True
image_00312.png,negative,neg_disjoint,False
image_00313.png,positive,positive_noise,True
image_00314.png,negative,neg_triangle_out,False
image_00315.png,positive,positive_noise,False
image_00316.png,positive,positive_noise,True
image_00317.png,positive,positive,True
image_00318.png,positive,positive,True
image_00319.png,negative,neg_circle_only,True
image_00320.png,positive,positive,True
image_00321.png,positive,positive_noise,True
image_00322.png,positive,positive,True
image_00323.png,negative,neg_triangle_out,False
image_00324.png,positive,positive,True
image_00325.png,positive,positive,False
image_00326.png,positive,positive,True
image_00327.png,positive,positive,False
image_00328.png,negative,neg_two_triangles,True
image_00329.png,positive,positive,True
image_00330.png,negative,neg_two_triangles,False
image_00331.png,negative,neg_two_triangles,False
image_00332.png,positive,positive,True
image_00333.png,negative,neg_empty,True
image_00334.png,negative,neg_empty,True
image_00335.png,positive,positive,False
image_00336.png,positive,positive,False
image_00337.png,positive,positive_noise,False
image_00338.png,positive,positive_noise,True
image_00339.png,negative,neg_two_triangles,True
image_00340.png,positive,positive,True
image_00341.png,positive,positive,True
image_00342.png,negative,neg_circle_only,False
image_00343.png,negative,neg_disjoint,False
image_00344.png,positive,positive_noise,True
image_00345.png,positive,positive_noise,True
image_00346.png,positive,positive,False
image_00347.png,negative,neg_two_triangles,False
image_00348.png,negative,neg_two_triangles,False
image_00349.png,positive,positive,False
image_00350.png,positive,positive,False
image_00351.png,positive,positive,True
image_00352.png,negative,neg_multiple_circles,False
image_00353.png,negative,neg_multiple_circles,True
image_00354.png,negative,neg_triangle_out,False
image_00355.png,negative,neg_two_triangles,True
image_00356.png,negative,neg_disjoint,True
image_00357.png,positive,positive_noise,True
image_00358.png,positive,positive,True
image_00359.png,positive,positive,True
image_00360.png,negative,neg_disjoint,False
image_00361.png,positive,positive,False
image_00362.png,negative,neg_circle_only,False
image_00363.png,positive,positive,True
image_00364.png,negative,neg_triangle_out,False
image_00365.png,positive,positive,True
image_00366.png,positive,positive,True
image_00367.png,negative,neg_empty,True
image_00368.png,negative,neg_circle_only,True
image_00369.png,negative,neg_disjoint,False
image_00370.png,positive,positive_noise,False
image_00371.png,negative,neg_multiple_circles,False
image_00372.png,positive,positive_noise,True
image_00373.png,negative,neg_triangle_out,False
image_00374.png,positive,positive,True
image_00375.png,positive,positive,True
image_00376.png,negative,neg_multiple_circles,False
image_00377.png,negative,neg_triangle_out,True
image_00378.png,positive,positive,True
image_00379.png,positive,positive,False
image_00380.png,positive,positive,True
image_00381.png,positive,positive_noise,True
image_00382.png,positive,positive,True
image_00383.png,negative,neg_triangle_out,False
image_00384.png,positive,positive_noise,False
image_00385.png,positive,positive,True
image_00386.png,negative,neg_multiple_circles,True
image_00387.png,negative,neg_triangle_out,True
image_00388.png,positive,positive,True
image_00389.png,positive,positive,True
image_00390.png,positive,positive,True
image_00391.png,positive,positive,False
image_00392.png,positive,positive_noise,True
image_00393.png,positive,positive,False
image_00394.png,positive,positive_noise,False
image_00395.png,negative,neg_empty,False
image_00396.png,negative,neg_triangle_out,True
image_00397.png,negative,neg_triangle_out,False
image_00398.png,negative,neg_two_triangles,False
image_00399.png,positive,positive,False
image_00400.png,negative,neg_two_triangles,False
image_00401.png,negative,neg_triangle_out,False
image_00402.png,positive,positive_noise,True
image_00403.png,negative,neg_circle_only,False
image_00404.png,positive,positive,True
image_00405.png,negative,neg_multiple_circles,False
image_00406.png,negative,neg_disjoint,True
image_00407.png,positive,positive,False
image_00408.png,positive,positive,True
image_00409.png,negative,neg_two_triangles,False
image_00410.png,negative,neg_multiple_circles,False
image_00411.png,negative,neg_triangle_out,False
image_00412.png,positive,positive,True
image_00413.png,positive,positive,True
image_00414.png,negative,neg_disjoint,False
image_00415.png,positive,positive,True
image_00416.png,negative,neg_triangle_out,False
image_00417.png,negative,neg_multiple_circles,False
image_00418.png,positive,positive,True
image_00419.png,positive,positive,True
image_00420.png,positive,positive_noise,True
image_00421.png,negative,neg_two_triangles,True
image_00422.png,positive,positive,False
image_00423.png,negative,neg_empty,False
image_00424.png,negative,neg_multiple_circles,False
image_00425.png,positive,positive,True
image_00426.png,negative,neg_two_triangles,False
image_00427.png,positive,positive,False
image_00428.png,negative,neg_circle_only,True
